"Dag";"Datum";"Rutt";"Amount";"Diesel";"Driver Income";"Remittance";"Odo Start";"Odo Stop";"Mil Distance";"Lit Diesel";"Diesel Consumption"
"Tor";"2026-03-12";"Alona Vida Hill Beach Resort – Pangas Falls – Danao Adventures – Alona Beacd.";"5000.00";"2000.00";"1250.00";"1750.00";"54160";"54435";"27.50";"25.94";"0.94"
"Ons";"2026-03-11";"Bohol Tropic Resort – Country Side Tour – Bohol T. R.";"3500.00";"1319.00";"875.00";"1306.00";"54017";"54160";"14.30";"";""
"Tis";"2026-03-10";"Pick up Alona Vida Beach Hill resorrt – Country side Tour – Drop off Alona";"3500.00";"1500.00";"875.00";"1125.00";"53790";"54107";"31.70";"";""
"Mån";"2026-03-09";"No trip";"0.00";"0.00";"0.00";"0.00";"";"";"";"";""
"Sön";"2026-03-08";"Airport – Country Side Tour – Off Nora place – Panglao
Pick up Airport – drop off Bohol Tropic";"4500.00";"1911.00";"1125.00";"1464.00";"53541";"53790";"24.90";"31.22";"1.25"
"Lör";"2026-03-07";"Pick up Airport – Off BKGY Tucdog Losy School";"2000.00";"501.00";"500.00";"999.00";"53466";"53541";"7.50";"";""
"Fre";"2026-03-06";"No trip";"0.00";"0.00";"0.00";"0.00";"";"";"";"";""
"Tor";"2026-03-05";"No trip";"0.00";"0.00";"0.00";"0.00";"";"";"";"";""
"Ons";"2026-03-04";"Pick up Seaport – Henann Resort – Line Airport";"1000.00";"321.00";"250.00";"429.00";"53424";"53466";"4.20";"5.4";"1.29"
"Tis";"2026-03-03";"Line airport – Bellaview Resort – Airport Line";"700.00";"200.00";"175.00";"325.00";"53365";"53424";"5.90";"";""
"Mån";"2026-03-02";"Line airport – Trip Seleah Resort – Airport Line – Home";"600.00";"250.00";"150.00";"200.00";"53329";"53365";"3.60";"4.4";"1.22"
"Sön";"2026-03-01";"Pick up Alona Beach – Drop Seaport";"1000.00";"465.00";"250.00";"285.00";"53287";"53329";"4.20";"";""
"Lör";"2026-02-28";"Pick up etc";"4500.00";"2000.00";"1125.00";"1375.00";"53000";"53284";"28.40";"35.25";"1.24"
"Fre";"2026-02-27";"No trip";"0.00";"0.00";"0.00";"0.00";"52955";"53000";"4.50";"";""
"Tor";"2026-02-26";"Hennan Resort – Service – Hospital of Bohol, Unilab Doctors";"6000.00";"2507.00";"1500.00";"1993.00";"52549";"52955";"40.60";"44.15";"1.09"
"Ons";"2026-02-25";"Pick up Bohol Tropics – Country Side Tour – Drop off Hennan";"3300.00";"1062.00";"825.00";"1413.00";"52365";"52549";"18.40";"18.63";"1.01"
"Tis";"2026-02-24";"Blue Water Country Side Tour";"3500.00";"1319.00";"875.00";"1306.00";"52163";"52365";"20.20";"";""
"Mån";"2026-02-23";"Country Side Tour";"3300.00";"1359.00";"825.00";"1116.00";"51980";"52163";"18.30";"";""
"Sön";"2026-02-22";"Pic up Ocejenica, Country Side Tour + (pick up cellphone)";"3600.00";"1259.00";"900.00";"1441.00";"51747";"51980";"23.30";"";""
"Lör";"2026-02-21";"Henan Resort, Panglao Country Side Tour.";"3300.00";"1213.00";"825.00";"1262.00";"51552";"51747";"19.50";"21.95";"1.13"
"Fre";"2026-02-20";"Pick up Belleview Country Side Tour.";"3500.00";"1290.00";"875.00";"1335.00";"51348";"51552";"20.40";"22.36";"1.10"
"Tor";"2026-02-19";"Pick up Service Whith in Panglao";"2000.00";"651.00";"500.00";"849.00";"51229";"51348";"11.90";"11.29";"0.95"
"Ons";"2026-02-18";"Line Airport, Pick up Bohol Tropics, Country Side Tour.";"3200.00";"1260.00";"800.00";"1140.00";"51070";"51229";"15.90";"21.43";"1.35"
"Tis";"2026-02-17";"NO TRIP. Pick up RickBarry, go Badotsco, Office Seaport Tagbilaran.
(500 Charge diesel to driver) ODO 51070,";"0.00";"0.00";"0.00";"0.00";"";"";"";"";""
"Mån";"2026-02-16";"Pick up Story Resort, Service Panglao, Tagbilara Visit Babtist Church.
(2000 p + 600 p + 3000 p)";"5600.00";"2000.00";"1400.00";"2200.00";"50720";"51036";"31.60";"33";"1.04"
"Sön";"2026-02-15";"No trip";"0.00";"0.00";"0.00";"0.00";"";"";"";"";""
"Lör";"2026-02-14";"No trip";"0.00";"0.00";"0.00";"0.00";"";"";"";"";""
"Fre";"2026-02-13";"No trip";"0.00";"0.00";"0.00";"0.00";"";"";"";"";""
